"","","","song_title"
"1","SCETTYB101","A R rahman","Kabhi is tarah,Kabhi is tarah,Kabhi is tarah"
"2","SCETTYB101","Kishor Kumar","Diye Jalate Hai,Diye Jalate Hai,Diye Jalate Hai,Diye Jalate Hai"
"3","SCETTYB101","Labh Jan Jua","Jee Karda,Jee Karda"
"4","SCETTYB101","Mohit Chauhan","Ilahi,Hawa Hawaa,Ilahi,Hawa Hawaa,Ilahi,Hawa Hawaa,Ilahi,Hawa Hawaa,Ye Khuda,Naadaan Parindey,Jo Bhi Main,Hawa Hawaa,Ye Khuda,Jo Bhi Main,Naadaan Parindey,Jo Bhi Main,Ye Khuda,Jo Bhi Main,Tum Ho"
"5","SCETTYB101","Mohmad Rafi","Khoya khoya chand ,Khoya khoya chand "
"6","SCETTYB101","Neha Bhansin","Ashlam-e-Ishqum,Ashlam-e-Ishqum"
"7","SCETTYB101","Shreya Ghoshal","Dhoom Taana,Raabta,Dhoom Taana,Raabta,Dhoom Taana,Raabta,Dhoom Taana,Saans Me Teri ,Raabta,Dola Re Dola,Raabta,Koi Pathar Se na Maare,Saans Me Teri ,Koi Pathar Se na Maare,Raabta"
"8","SCETTYB101","Sonu Nigam","Sandese Aate Hai "
"9","SCETTYB102","A R rahman","Kabhi is tarah,Kabhi is tarah,Maahi,Kabhi is tarah,Maahi,Kabhi is tarah,Kabhi is tarah"
"10","SCETTYB102","Kishor Kumar","Diye Jalate Hai,Diye Jalate Hai"
"11","SCETTYB102","Labh Jan Jua","Jee Karda"
"12","SCETTYB102","Mohit Chauhan","Ilahi,Ye Khuda,Ilahi,Jo Bhi Main,Tum Ho,Hawa Hawaa,Tum Ho,Hawa Hawaa,Naadaan Parindey"
"13","SCETTYB102","Mohmad Rafi","Khoya khoya chand ,Khoya khoya chand ,Khoya khoya chand ,Khoya khoya chand ,Khoya khoya chand ,Khoya khoya chand "
"14","SCETTYB102","Neha Bhansin","Ashlam-e-Ishqum,Ashlam-e-Ishqum"
"15","SCETTYB102","Shreya Ghoshal","Dhoom Taana,Dhoom Taana,Dhoom Taana,Dhoom Taana,Dhoom Taana,Dola Re Dola,Dhoom Taana,Om Shanti Om,Dhoom Taana,Dola Re Dola,Dhoom Taana,Om Shanti Om,Dola Re Dola,Dola Re Dola,Saans Me Teri ,Dola Re Dola"
"16","SCETTYB102","Sonu Nigam","Sandese Aate Hai ,Sandese Aate Hai "
"17","SCETTYB102","Vinod Rathod","Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi"
"18","SCETTYB103","A R rahman","Kabhi is tarah,Maahi,Kabhi is tarah,Maahi,Kabhi is tarah,Maahi,Kabhi is tarah,Maahi,Kabhi is tarah"
"19","SCETTYB103","Kishor Kumar","Diye Jalate Hai"
"20","SCETTYB103","Labh Jan Jua","Jee Karda"
"21","SCETTYB103","Mohit Chauhan","Ye Khuda,Ye Khuda,Ye Khuda,Ilahi,Ye Khuda,Ilahi,Ye Khuda,Tum Ho,Hawa Hawaa,Tum Ho"
"22","SCETTYB103","Mohmad Rafi","Khoya khoya chand ,Khoya khoya chand "
"23","SCETTYB103","Neha Bhansin","Ashlam-e-Ishqum"
"24","SCETTYB103","Shreya Ghoshal","Om Shanti Om,Koi Pathar Se na Maare,Om Shanti Om,Koi Pathar Se na Maare,Om Shanti Om,Koi Pathar Se na Maare,Saans Me Teri ,Koi Pathar Se na Maare,Om Shanti Om,Saans Me Teri ,Koi Pathar Se na Maare,Raabta,Koi Pathar Se na Maare,Raabta,Dola Re Dola,Saans Me Teri ,Raabta"
