"","","","song_title"
"1","SCETTYB101","A R rahman","Maahi,Maahi"
"2","SCETTYB101","Kishor Kumar","Aai Khuda Har faisala tera Muze Manjur hai,Aaj Madhosh Hua Jaye re,Aaiye Shauk se Kahiye,Aadmi jo kaheta Hai,Aadmi jo kaheta Hai,Aaj na chhodenge "
"3","SCETTYB101","Mohit Chauhan","Naadaan Parindey"
"4","SCETTYB101","Mohmad Rafi","Khoya khoya chand ,Abhi Na Jao Chhod Kar,Tum Bin Jaoon Kahan"
"5","SCETTYB101","Neha Bhansin","Ashlam-e-Ishqum"
"6","SCETTYB101","Shreya Ghoshal","Koi Pathar Se na Maare,Raabta,Om Shanti Om"
"7","SCETTYB101","Sonu Nigam","Sandese Aate Hai "
"8","SCETTYB101","Vinod Rathod","Aisi Deewangi Dekhi,Aisi Deewangi Dekhi"
"9","SCETTYB102","A R rahman","Maahi"
"10","SCETTYB102","Kishor Kumar","Aadmi jo kaheta Hai"
"11","SCETTYB102","Mohit Chauhan","Hawa Hawaa,Naadaan Parindey,Haafiz Khuda"
"12","SCETTYB102","Mohmad Rafi","Khoya khoya chand "
"13","SCETTYB102","Mukesh","Mera Joota Hai Japani"
"14","SCETTYB102","Neha Bhansin","Ashlam-e-Ishqum"
"15","SCETTYB102","Shreya Ghoshal","Raabta,Om Shanti Om,Wada Raha,Om Shanti Om"
"16","SCETTYB102","Sonu Nigam","Sandese Aate Hai ,Maria Maria"
"17","SCETTYB102","Vinod Rathod","Aisi Deewangi Dekhi"
"18","SCETTYB103","Mohit Chauhan","Jo Bhi Main,Ilahi"
"19","SCETTYB103","Mohmad Rafi","Khoya khoya chand ,Gulabi Ankhe"
"20","SCETTYB103","Mukesh","Mera Joota Hai Japani"
"21","SCETTYB103","Shreya Ghoshal","Om Shanti Om,Om Shanti Om,More Piya,Dola Re Dola,Raabta,Dhoom Taana"
"22","SCETTYB103","Sonu Nigam","Sandese Aate Hai ,Sandese Aate Hai "
