"","","","song_title"
"1","SCETTYB101","Aaja Nachle","Koi Pathar Se na Maare,Koi Pathar Se na Maare"
"2","SCETTYB101","Agent Vinod ","Raabta,Raabta,Raabta,Raabta,Raabta,Raabta"
"3","SCETTYB101","Border","Sandese Aate Hai "
"4","SCETTYB101","Devdas","Dola Re Dola"
"5","SCETTYB101","Gunday","Ashlam-e-Ishqum,Ashlam-e-Ishqum"
"6","SCETTYB101","Highway","Kabhi is tarah,Kabhi is tarah,Kabhi is tarah"
"7","SCETTYB101","Jab Tak Hai Jaan ","Saans Me Teri ,Saans Me Teri "
"8","SCETTYB101","Mohmad Rafi","Khoya khoya chand ,Khoya khoya chand "
"9","SCETTYB101","Namak Haram","Diye Jalate Hai,Diye Jalate Hai,Diye Jalate Hai,Diye Jalate Hai"
"10","SCETTYB101","Om Shanti Om","Dhoom Taana,Dhoom Taana,Dhoom Taana,Dhoom Taana"
"11","SCETTYB101","Rockstar","Hawa Hawaa,Hawa Hawaa,Hawa Hawaa,Hawa Hawaa,Ye Khuda,Naadaan Parindey,Jo Bhi Main,Hawa Hawaa,Ye Khuda,Jo Bhi Main,Naadaan Parindey,Jo Bhi Main,Ye Khuda,Jo Bhi Main,Tum Ho"
"12","SCETTYB101","Singh Is King","Jee Karda,Jee Karda"
"13","SCETTYB101","Yeh Jawanni Hai Devani","Ilahi,Ilahi,Ilahi,Ilahi"
"14","SCETTYB102","Border","Sandese Aate Hai ,Sandese Aate Hai "
"15","SCETTYB102","Deewana","Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi"
"16","SCETTYB102","Devdas","Dola Re Dola,Dola Re Dola,Dola Re Dola,Dola Re Dola,Dola Re Dola"
"17","SCETTYB102","Gunday","Ashlam-e-Ishqum,Ashlam-e-Ishqum"
"18","SCETTYB102","Highway","Kabhi is tarah,Kabhi is tarah,Maahi,Kabhi is tarah,Maahi,Kabhi is tarah,Kabhi is tarah"
"19","SCETTYB102","Jab Tak Hai Jaan ","Saans Me Teri "
"20","SCETTYB102","Mohmad Rafi","Khoya khoya chand ,Khoya khoya chand ,Khoya khoya chand ,Khoya khoya chand ,Khoya khoya chand ,Khoya khoya chand "
"21","SCETTYB102","Namak Haram","Diye Jalate Hai,Diye Jalate Hai"
"22","SCETTYB102","Om Shanti Om","Dhoom Taana,Dhoom Taana,Dhoom Taana,Dhoom Taana,Dhoom Taana,Dhoom Taana,Om Shanti Om,Dhoom Taana,Dhoom Taana,Om Shanti Om"
"23","SCETTYB102","Rockstar","Ye Khuda,Jo Bhi Main,Tum Ho,Hawa Hawaa,Tum Ho,Hawa Hawaa,Naadaan Parindey"
"24","SCETTYB102","Singh Is King","Jee Karda"
"25","SCETTYB102","Yeh Jawanni Hai Devani","Ilahi,Ilahi"
"26","SCETTYB103","Aaja Nachle","Koi Pathar Se na Maare,Koi Pathar Se na Maare,Koi Pathar Se na Maare,Koi Pathar Se na Maare,Koi Pathar Se na Maare,Koi Pathar Se na Maare"
"27","SCETTYB103","Agent Vinod ","Raabta,Raabta,Raabta"
"28","SCETTYB103","Deewana","Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi,Aisi Deewangi Dekhi"
"29","SCETTYB103","Devdas","Dola Re Dola"
"30","SCETTYB103","Gunday","Ashlam-e-Ishqum"
"31","SCETTYB103","Highway","Kabhi is tarah,Maahi,Kabhi is tarah,Maahi,Kabhi is tarah,Maahi,Kabhi is tarah,Maahi,Kabhi is tarah"
"32","SCETTYB103","Jab Tak Hai Jaan ","Saans Me Teri ,Saans Me Teri ,Saans Me Teri "
"33","SCETTYB103","Mohmad Rafi","Khoya khoya chand ,Khoya khoya chand "
"34","SCETTYB103","Namak Haram","Diye Jalate Hai"
"35","SCETTYB103","Om Shanti Om","Om Shanti Om,Om Shanti Om,Om Shanti Om,Om Shanti Om"
"36","SCETTYB103","Rockstar","Ye Khuda,Ye Khuda,Ye Khuda,Ye Khuda,Ye Khuda,Tum Ho,Hawa Hawaa,Tum Ho"
"37","SCETTYB103","Singh Is King","Jee Karda"
"38","SCETTYB103","Yeh Jawanni Hai Devani","Ilahi,Ilahi"
"39","SCETTYB104","Agent Vinod ","Aa Dekhe jara,Aa Dekhe jara,Aa Dekhe jara"
"40","SCETTYB104","Devdas","Bhole o Bhole,Bhole o Bhole,Bhole o Bhole,Bhole o Bhole"
"41","SCETTYB104","Mohmad Rafi","Hum to apke diwane,Hum to apke diwane,Hum to apke diwane,Hum to apke diwane,Hum to apke diwane,Hum to apke diwane,Hum to apke diwane,Daru Khrab,Daru Khrab,Daru Khrab,Ek din bit jayega,Daru Khrab,Ek din bit jayega,Daru Khrab,Hum to apke diwane,Ek din bit jayega"
"42","SCETTYB104","Namak Haram","Chal rahi chal,Gore rang pai ,Chal rahi chal,Gore rang pai ,Chal rahi chal,Gore rang pai ,Dekho idhar Dekho,Dekho idhar Dekho,Chal rahi chal,Dekho idhar Dekho,Mera Juta Hai Jawani,Aachal ke tuze,Dekho idhar Dekho,Mera Juta Hai Jawani,Aachal ke tuze,Chal rahi chal,Aachal ke tuze,Dekho idhar Dekho,Chal rahi chal,Gore rang pai ,Dekho idhar Dekho,Dekho idhar Dekho,Gore rang pai "
"43","SCETTYB104","Om Shanti Om","Deewani ,Deewani ,Deewani ,Deewani "
"44","SCETTYB105","Agent Vinod ","Aa Dekhe jara,Aa Dekhe jara,Aa Dekhe jara,Aa Dekhe jara,Aa Dekhe jara,Aa Dekhe jara,Aa Dekhe jara,Aa Dekhe jara,Aa Dekhe jara,Aa Dekhe jara,Aa Dekhe jara,Aa Dekhe jara,Aa Dekhe jara,Aa Dekhe jara,Aa Dekhe jara,Aa Dekhe jara,Aa Dekhe jara,Aa Dekhe jara,Aa Dekhe jara,Aa Dekhe jara,Aa Dekhe jara"
"45","SCETTYB105","Devdas","Bhole o Bhole,Bhole o Bhole,Bhole o Bhole,Bhole o Bhole,Bhole o Bhole,Bhole o Bhole,Bhole o Bhole"
"46","SCETTYB105","Mohmad Rafi","Daru Khrab,Ek din bit jayega,Daru Khrab,Ek din bit jayega,Daru Khrab,Ek din bit jayega,Ek din bit jayega,Hum to apke diwane,Hum to apke diwane,Hum to apke diwane,Ek din bit jayega,Daru Khrab,Daru Khrab,Ek din bit jayega"
"47","SCETTYB105","Namak Haram","Chal rahi chal,Gore rang pai ,Mera Juta Hai Jawani,Aachal ke tuze,Dekho idhar Dekho,Chal rahi chal,Gore rang pai ,Mera Juta Hai Jawani,Aachal ke tuze,Dekho idhar Dekho,Chal rahi chal,Gore rang pai ,Mera Juta Hai Jawani,Aachal ke tuze,Dekho idhar Dekho,Mera Juta Hai Jawani,Chal rahi chal,Aachal ke tuze,Chal rahi chal,Mera Juta Hai Jawani,Mera Juta Hai Jawani,Mera Juta Hai Jawani,Chal rahi chal,Aachal ke tuze,Chal rahi chal,Mera Juta Hai Jawani,Aachal ke tuze"
"48","SCETTYB105","Om Shanti Om","Deewani ,Deewani ,Deewani ,Deewani ,Deewani ,Deewani ,Deewani ,Deewani ,Deewani ,Deewani "
"49","SCETTYB106","Agent Vinod ","Aa Dekhe jara"
